ticker,stock_name,stock_group,loaded,rows,first_date,last_date
2330.TW,台積電,AI伺服器組裝,True,1553,2020-01-02,2026-06-01
2317.TW,鴻海,AI伺服器組裝,True,1553,2020-01-02,2026-06-01
2382.TW,廣達,AI伺服器組裝,True,1553,2020-01-02,2026-06-01
3231.TW,緯創,AI伺服器組裝,True,1553,2020-01-02,2026-06-01
6669.TW,緯穎,AI伺服器組裝,True,1553,2020-01-02,2026-06-01
2324.TW,仁寶,AI伺服器組裝,True,1553,2020-01-02,2026-06-01
2356.TW,英業達,AI伺服器組裝,True,1553,2020-01-02,2026-06-01
2454.TW,聯發科,AI半導體,True,1553,2020-01-02,2026-06-01
3443.TW,創意,AI半導體,True,1553,2020-01-02,2026-06-01
3661.TW,世芯-KY,AI半導體,True,1553,2020-01-02,2026-06-01
3711.TW,日月光投控,AI半導體,True,1553,2020-01-02,2026-06-01
2449.TW,京元電子,AI半導體,True,1553,2020-01-02,2026-06-01
5274.TWO,信驊,AI半導體,True,1553,2020-01-02,2026-06-01
3017.TW,奇鋐,散熱液冷,True,1553,2020-01-02,2026-06-01
3324.TWO,雙鴻,散熱液冷,True,1553,2020-01-02,2026-06-01
3653.TW,健策,散熱液冷,True,1553,2020-01-02,2026-06-01
6805.TW,富世達,散熱液冷,True,624,2023-10-31,2026-06-01
2421.TW,建準,散熱液冷,True,1553,2020-01-02,2026-06-01
3483.TWO,力致,散熱液冷,True,1553,2020-01-02,2026-06-01
2308.TW,台達電,電源電力,True,1553,2020-01-02,2026-06-01
2301.TW,光寶科,電源電力,True,1553,2020-01-02,2026-06-01
6412.TW,群電,電源電力,True,1553,2020-01-02,2026-06-01
3015.TW,全漢,電源電力,True,1553,2020-01-02,2026-06-01
6282.TW,康舒,電源電力,True,1553,2020-01-02,2026-06-01
3037.TW,欣興,PCB載板,True,1553,2020-01-02,2026-06-01
3189.TW,景碩,PCB載板,True,1553,2020-01-02,2026-06-01
8046.TW,南電,PCB載板,True,1553,2020-01-02,2026-06-01
2383.TW,台光電,PCB載板,True,1553,2020-01-02,2026-06-01
2368.TW,金像電,PCB載板,True,1553,2020-01-02,2026-06-01
4958.TW,臻鼎-KY,PCB載板,True,1553,2020-01-02,2026-06-01
2345.TW,智邦,網通光通訊,True,1553,2020-01-02,2026-06-01
6285.TW,啟碁,網通光通訊,True,1553,2020-01-02,2026-06-01
3081.TWO,聯亞,網通光通訊,True,1553,2020-01-02,2026-06-01
3363.TWO,上詮,網通光通訊,True,1553,2020-01-02,2026-06-01
6442.TW,光聖,網通光通訊,True,1553,2020-01-02,2026-06-01
4979.TWO,華星光,網通光通訊,True,1553,2020-01-02,2026-06-01
2408.TW,南亞科,記憶體,True,1553,2020-01-02,2026-06-01
2344.TW,華邦電,記憶體,True,1553,2020-01-02,2026-06-01
8299.TWO,群聯,記憶體,True,1553,2020-01-02,2026-06-01
2337.TW,旺宏,記憶體,True,1553,2020-01-02,2026-06-01
1513.TW,中興電,重電電網,True,1553,2020-01-02,2026-06-01
1514.TW,亞力,重電電網,True,1553,2020-01-02,2026-06-01
1503.TW,士電,重電電網,True,1553,2020-01-02,2026-06-01
1504.TW,東元,重電電網,True,1553,2020-01-02,2026-06-01
1605.TW,華新,重電電網,True,1553,2020-01-02,2026-06-01
2880.TW,華南金,金融股,True,1553,2020-01-02,2026-06-01
2881.TW,富邦金,金融股,True,1553,2020-01-02,2026-06-01
2882.TW,國泰金,金融股,True,1553,2020-01-02,2026-06-01
2883.TW,凱基金,金融股,True,1553,2020-01-02,2026-06-01
2884.TW,玉山金,金融股,True,1553,2020-01-02,2026-06-01
2885.TW,元大金,金融股,True,1553,2020-01-02,2026-06-01
2886.TW,兆豐金,金融股,True,1553,2020-01-02,2026-06-01
2887.TW,台新金,金融股,True,1553,2020-01-02,2026-06-01
2889.TW,國票金,金融股,True,1553,2020-01-02,2026-06-01
2890.TW,永豐金,金融股,True,1553,2020-01-02,2026-06-01
2891.TW,中信金,金融股,True,1553,2020-01-02,2026-06-01
2892.TW,第一金,金融股,True,1553,2020-01-02,2026-06-01
2801.TW,彰銀,金融股,True,1553,2020-01-02,2026-06-01
2834.TW,臺企銀,金融股,True,1553,2020-01-02,2026-06-01
2845.TW,遠東銀,金融股,True,1553,2020-01-02,2026-06-01
2897.TW,王道銀行,金融股,True,1553,2020-01-02,2026-06-01
5876.TW,上海商銀,金融股,True,1553,2020-01-02,2026-06-01
5880.TW,合庫金,金融股,True,1553,2020-01-02,2026-06-01
2601.TW,益航,航運物流,True,1553,2020-01-02,2026-06-01
2603.TW,長榮,航運物流,True,1553,2020-01-02,2026-06-01
2605.TW,新興,航運物流,True,1553,2020-01-02,2026-06-01
2606.TW,裕民,航運物流,True,1553,2020-01-02,2026-06-01
2607.TW,榮運,航運物流,True,1553,2020-01-02,2026-06-01
2608.TW,嘉里大榮,航運物流,True,1553,2020-01-02,2026-06-01
2609.TW,陽明,航運物流,True,1553,2020-01-02,2026-06-01
2610.TW,華航,航運物流,True,1553,2020-01-02,2026-06-01
2611.TW,志信,航運物流,True,1553,2020-01-02,2026-06-01
2612.TW,中航,航運物流,True,1553,2020-01-02,2026-06-01
2613.TW,中櫃,航運物流,True,1553,2020-01-02,2026-06-01
2615.TW,萬海,航運物流,True,1553,2020-01-02,2026-06-01
2617.TW,台航,航運物流,True,1553,2020-01-02,2026-06-01
2618.TW,長榮航,航運物流,True,1553,2020-01-02,2026-06-01
2636.TW,台驊投控,航運物流,True,1553,2020-01-02,2026-06-01
2637.TW,慧洋-KY,航運物流,True,1553,2020-01-02,2026-06-01
5608.TW,四維航,航運物流,True,1553,2020-01-02,2026-06-01
5609.TWO,中菲行,航運物流,True,1553,2020-01-02,2026-06-01
2641.TWO,正德,航運物流,True,1553,2020-01-02,2026-06-01
2357.TW,華碩,消費電子工控,True,1553,2020-01-02,2026-06-01
2376.TW,技嘉,消費電子工控,True,1553,2020-01-02,2026-06-01
2377.TW,微星,消費電子工控,True,1553,2020-01-02,2026-06-01
2385.TW,群光,消費電子工控,True,1553,2020-01-02,2026-06-01
2395.TW,研華,消費電子工控,True,1553,2020-01-02,2026-06-01
3008.TW,大立光,消費電子工控,True,1553,2020-01-02,2026-06-01
4938.TW,和碩,消費電子工控,True,1553,2020-01-02,2026-06-01
2474.TW,可成,消費電子工控,True,1553,2020-01-02,2026-06-01
2327.TW,國巨,消費電子工控,True,1553,2020-01-02,2026-06-01
2492.TW,華新科,消費電子工控,True,1553,2020-01-02,2026-06-01
3034.TW,聯詠,消費電子工控,True,1553,2020-01-02,2026-06-01
2409.TW,友達,面板顯示,True,1553,2020-01-02,2026-06-01
3481.TW,群創,面板顯示,True,1553,2020-01-02,2026-06-01
6116.TW,彩晶,面板顯示,True,1553,2020-01-02,2026-06-01
4935.TW,茂林-KY,面板顯示,True,1553,2020-01-02,2026-06-01
5371.TWO,中光電,面板顯示,True,1553,2020-01-02,2026-06-01
6176.TW,瑞儀,面板顯示,True,1553,2020-01-02,2026-06-01
1795.TWO,美時,生技醫療,False,0,,
